#,name,profile_url,location,answers,badge,picture_url,description,company,address,areas_of_experience
1,Bernard P Wolfsdorf,https://www.eb5investors.com/directories/immigration-attorneys/bernard-wolfsorf/,"Santa Monica, California",3223,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/60be21f3ebf28ff7b8a692a752d92cf8.jpg,"Bernard P. Wolfsdorf is an immigration attorney and a managing partner at WR Immigration (Wolfsdorf Rosenthal LLP), an immigration law firm with offices in Los Angeles, New York, Oakland, Santa Monica, San Francisco and Shanghai. Wolfsdorf has been designated as a Certified Specialist in Immigration and Nationality Law by the State Bar of California for over 25 years. WR Immigration is known worldwide for its excellence in providing value and top-quality global immigration representation. Chambers USA – California rated only three firms as Tier 1, including WR Immigration. He has been consistently rated as “AV Preeminent” by Martindale-Hubbell and was selected as the “2018 Lawyer of the Year for Los Angeles” by U.S. News & World Report/Best Lawyers in America. Wolfsdorf serves on the American Immigration Lawyers Association’s EB-5 committee and he is a past national president of AILA, where he was awarded its Service Excellence Award for his voluntary contributions. EB5 Investors Magazine has named him in its Top 25 immigration lawyers for the past 5 years.  He is a frequent speaker and author on EB-5 topics. The firm is known for providing innovative solutions to complex issues for its clients and handles a broad range of global mobility cases. WR Immigration has developed the most advanced Immigrant Management System available – WRapid – that has transformed the practice of immigration law. Chambers USA describes him as “[o]ne of the hardest-working immigration lawyers around.”",WR Immigration,"1416 2nd StreetSanta Monica, California 90401","Investor Representation, Immigrant Visa/Adjustment of Status, I-526 Petitions, I-485 Applications, DS-230 Applications, I-829 Petitions, Other Immigration Matters, DS-260 Applications"
2,Lynne Feldman,https://www.eb5investors.com/directories/immigration-attorneys/lynne-feldman/,"San Diego, California",3067,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/15fa1fad1fc582dd65403f6f950b1e21.jpg,"Lynne Feldman is an EB-5 immigration attorney at Feldman Feldman & Associates, located in San Diego, who has been practicing immigration law for more than 25 years. She has extensive experience with investment, business, and family-based immigration. Attorney Feldman has even taught immigration law as a professor at the University of Illinois and has published numerous articles pertaining to immigration law.  Attorney Feldman is part of a team of dedicated experts at Feldman Feldman & Associates who zealously protect the rights of their clients undergoing the immigration process. The firm goes to great lengths to ensure that all cases are properly and promptly handled and continuously strives to put extra effort into its clients’ cases. The firm handles a wide array of immigration case types, including EB-5 visas, H-1B visas, intra-company transfers, investor visas, labor certification and others. Although the offices of Feldman Feldman & Associates are located in San Diego, the firm represents clients from all over the nation.  Attorney Feldman earned her undergraduate degree from Mills College and her law degree from the University of California Hastings College of the Law. She has practiced immigration law in California and Illinois since 1974. She has concentrated her practice solely on immigration law since 1990. She is a member of the American Immigration Lawyers Association, where she has served as a member and chair of numerous committees. She has also served on the faculty for the Illinois Continuing Legal Education’s immigration program. Attorney Feldman operates Feldman Feldman & Associates along with her son. In her free time she plays tournament bridge.","Feldman Feldman & Associates, PC","2221 Camino Del Rio South, Suite 201San Diego, California 92108","Investor Representation, Regional Center Representation, Immigrant Visa/Adjustment of Status, EB-5 Litigation, I-526 Petitions, I-485 Applications, I-829 Petitions, I-924 Applications, Other Immigration Matters"
3,Salvatore Picataggio,https://www.eb5investors.com/directories/immigration-attorneys/salvatore-picataggio/,"Orlando, Florida",2595,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/b259a593d2ac9619df8c8a5a6c2717a2.jpg,"Salvatore Picataggio is an EB-5 immigration lawyer at Colombo & Hurd, PL. The firm is based in Orlando, Florida. Picataggio is knowledgeable both in family and business immigration. He has helped families reunite in the United States, as well as helped companies and traders legally trade and do business in the United States. He assists professionals, skilled workers, and individuals with special skills to legally work and stay in the United States. In addition, he assists businesses in making financial and legal infrastructures to raise money from international investors by the EB-5 immigrant investor program. He is a Top Contributor at EB5Investors.com, having provided more than 2,000 answers to questions posted online. Previously, he worked as a junior partner of the Beshara Professional Association, an immigration law firm based in Florida, from 2011 to 2018. He provided legal services in the areas of family and business immigration. Picataggio was admitted to practice law in the state of Florida. He completed his Juris Doctor degree at the University of Florida Levin College of Law in 2011. In law school, he was active in various organizations and societies, including Introduction to Law School and the Profession and the John Marshall Bar Association. He also participated in the Music Law Conference. He graduated summa cum laude in 2008 with his Bachelor of Science degree in public relations, with a minor in business administration, from the University of Florida. In addition, he is a member of Invest in USA, the American Immigration Lawyers Association (Central Florida chapter), the Orange County Bar Association, and the Florida Bar. He is also a member of the Orlando Regional Realtor Association’s Global Council, the Central Florida Brazilian American Chamber of Commerce, the British-American Chamber of Commerce, and the Central Florida Brazilian American Chamber of Commerce.","Colombo & Hurd, PL","301 E. Pine St., Suite 300Orlando, Florida 32801",Investor Representation
4,Fredrick W Voigtmann,https://www.eb5investors.com/directories/immigration-attorneys/frederick-w-voigtmann/,"Woodland Hills, California",2024,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/37241d744c96e57d29332979a23b8c5c.jpg,"Fredrick Voigtmann is an EB-5 immigration attorney who owns and operates the Law Office of Fred Voigtmann, P.C. in Woodland Hills, Calif. Concentrating on immigration law and naturalization, attorney Voigtmann strives to offer clients the individualized care that ensures successful results.  Attorney Voigtmann’s practice offers legal services for immigrating clients and large companies. He strives to stay up-to-date on the challenging and constantly changing immigration laws. Attorney Voigtmann has represented clients from around the world and seeks to work as a liaison between cultures. Fluent in both English and Mandarin Chinese, he has successfully represented clients throughout Asia. Attorney Voigtmann has lived in Taiwan, and tries to understand all the complex needs of immigrating clients in order to make the process as succinct as possible.  For nearly 20 years, attorney Voigtmann has dedicated his work to immigration law and has served on the investor committee of the American Immigration Lawyers Association. He has mentored and advised fellow immigration attorneys, providing them with the knowledge and tools that he utilizes to work effectively in immigration law. He has written articles on immigration for Beverly Hills Times Magazine and newsletters to his colleagues that deal with the common misconceptions of immigration law. He strives to apply his experience and knowledge of the most current immigration law in all employment-based immigration objectives. Attorney Voigtmann has experience working in the EB-5 arena since 1997. He has worked for individual EB-5 investors, regional centers, and EB-5 investment pools. He offers clients full-service immigration attention in an effort to successfully provide solutions to even complex legal issues. He strives to be an active part of the EB-5 community and served as co-chair of the American Immigration Lawyers Association EB-5 Investor Committee from 1997-1998. Attorney Voigtmann provides clients with progressive approaches to attend to all their immigration needs. ",Law Office of Fredrick W. Voigtmann,"21700 Oxnard Street, Suite 360Woodland Hills, California 91367",Investor Representation
5,Julia Roussinova,https://www.eb5investors.com/directories/immigration-attorneys/julia-roussinova/,"Bellevue, Washington",1872,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/b8c78ee23d4f42c6c58cede44fedb0cd.jpg,"Julia Roussinova is an EB-5 immigration attorney at IBRLAW GROUP, PLLC, located in Bellevue, Wash. She has extensive experience handling intricate immigration matters before U.S. Citizenship and Immigration Services, the U.S. Department of Labor, the U.S. Department of State, and other government agencies and courts. Although Attorney Roussinova represents clients in a variety of employment and family nonimmigrant and immigrant visa matters, she devotes a significant part of her legal practice to EB-5 visas and investor representation. She regularly works with immigrant investors, regional centers, business and securities attorneys, investment advisers and other professionals involved in complex EB-5 visa matters. Attorney Roussinova represents clients from around the world through all stages of the EB-5 visa program, helping them to traverse the demanding investment immigration process and obtain green cards for themselves and their loved ones. Her services include analysis and execution of all required business and immigration documents, business formation and planning as necessary, tax planning, preparation and filing of the investor’s I-526 petition, assistance with consular processing or the adjustment of status (green card) process, and preparation and filing of the I-829 petition for removal of conditions, as well as counseling clients on any issues they may have regarding the EB-5 immigrant investor process.   Attorney Roussinova attained her law degree at the Seattle University School of Law in Seattle, Wash., during which time she also completed a rigorous focus program in Tax Law. Subsequent to attaining her law degree, she completed the LL.M. Program in Tax Law at the University of Washington School of Law in Seattle, Wash. To that end, Attorney Roussinova is proud to offer extensive experience in tax law and estate planning to her immigration clients, who are in the process of immigrating to the United States for permanent residence – thus making them subject to U.S. tax laws and regulations. This may include, but is not limited to, international and domestic estate planning, and tax planning in order to preserve clients’ assets and reduce taxes. In addition to her other educational qualifications, Attorney Roussinova holds a Master’s degree in Linguistics. She also speaks Russian, which greatly helps her in representing international clients from Eastern Europe and Russia in their immigration cases and other legal matters. As a first-generation immigrant herself, Attorney Roussinova understands how difficult the immigration process can be, and is particularly sensitive to the obstacles that many U.S. immigrants and their families may face. She is admitted to practice law before the Washington state courts, the U.S. Tax Court, the U.S. District Court for the Western District of Washington, and the Internal Revenue Service. She is a member of the American Immigration Lawyers Association (AILA) and is very active in the immigration law community.","IBRLAW GROUP, PLLC","15405 SE 37th Street, Suite 100Bellevue, Washington 98006","Investor Representation, Regional Center Representation, I-526 Petitions, I-485 Applications, I-829 Petitions, I-924 Applications, Other Immigration Matters"
6,A Olusanjo Omoniyi,https://www.eb5investors.com/directories/immigration-attorneys/a-olusanjo-omoniyi/,"Chicago, Illinois",1716,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/0afe095e81a6ac76ff3f69975cb3e7ae.jpg,"Olusanjo Omoniyi is an EB-5 immigration attorney and the founder of the Law Offices of Omoniyi Law Firm, an immigration law firm based in Chicago. Attorney Omoniyi focuses on U.S. immigration, particularly naturalization and immigration, green card services, immigration litigation, family immigration, employment immigration, consular services, and visa applications. Aside from being knowledgeable in the areas of U.S. immigration, he can also provide legal assistance and services in the areas of family law (separation, adoption, child custody, spousal support, annulment, etc.) and criminal law. Attorney Omoniyi has been practicing law since 1996, making him one of the most experienced, skilled and knowledgeable attorneys in Chicago. Attorney Olusanjo Omoniyi, as the firm’s founder, heads the Law Offices of Omoniyi. For 17 years, he has successfully tackled complicated U.S. immigration problems and concerns. Through his years of practice, he has mastered the rules and regulations of U.S. immigration. Omoniyi Law Firm has a high success rate and is known for providing quality legal services and advice. It is one of the most trusted law firms in Chicago. The law firm’s services include business and investor visa applications, green card services, non-immigrant visa applications (for leisure, work, and study) and permanent visa applications (employment-based immigration, family-based, refugee or asylum immigration and diversity lottery). The firm also provides assistance in completing U.S. immigration requirements. Attorney Omoniyi advises clients on how to face immigration officers and complete various immigration forms. In addition to assisting clients with their visa applications and immigration petitions, attorney Omoniyi also represents immigrants facing deportation in immigration court. As an immigrant himself, attorney Omoniyi vowed to help other immigrants stay, work and live in the United States legally. He knows how hard it is to stay illegally in the country. Throughout his career, he has helped countless workers, students and families enter and stay in the United States. Attorney Omoniyi completed his Master of Business Administration at the Kellogg School of Management, Northwestern University, Evanston, IL in 2017. Attorney Omoniyi earned his Juris Doctor degree at the Southern Illinois University in 1994. He also earned his Bachelor of Science degree in Radio-Television and Bachelor of Arts in Cinema & Photography at the Southern Illinois University in 1987, and his Master’s degree in Telecommunications in 1990. He was admitted to practice law in the State of Illinois and all the three U.S. District Courts: Central, Northern and Southern Districts. In 1999, he was also admitted to practice in the U.S. Court of Appeals, Seventh Circuit. Attorney Omoniyi’s knowledge and experience have been acknowledged by several groups and organizations. He is a recipient of several awards and recognitions, including the American Jurisprudence Award, Pre-Trial Advocacy (1994), International Law Lex Mundi Global Student Writing Award (1993) and Certificate of Merit for International Essay Competition, Institute of International Commercial Law, Pace University, New York (1994). Moreover, he is also listed in Strathmore’s Who’s Who (2002-2003), and Who’s Who in Media and Communications (1998-1999).","Omoniyi Law Firm, P.C.","150 S. Wacker Drive, Suite 2400Chicago, Illinois 60606","Investor Representation, Regional Center Representation, Immigrant Visa/Adjustment of Status, EB-5 Securities Issues, I-526 Petitions, I-485 Applications, I-829 Petitions, I-924 Applications, Other Immigration Matters"
7,BoBi Ahn,https://www.eb5investors.com/directories/immigration-attorneys/bobi-ahn/,"New York, New York",1540,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/fb598cb494b6e98253995d800fab908d.jpg,"BoBi Ahn is an EB-5 attorney at her own New York-based law firm, Ahn Law Group, LLC. She has practiced immigration and nationality law for more than 20 years. During this time, she has represented renowned organizations, including the World Bank, International Monetary Fund, Goldman Sachs, P&O Nedlloyd, and BNP Paribas, with their employment and business related immigration issues. Her experience comprises all areas of immigration law, including EB-5 visas, visa processing, family-based immigration, and employment-based immigration. For over a decade, she has served as the corporate counsel and vice president of an information technology firm that is headquartered in the United States, with offices in Europe and Asia. She was also the chief counsel and chief operating officer for an immigration services company.  Attorney Ahn focuses her practice and expertise solely on business immigration law. Her clients include individuals and multinational corporations working and doing business in the United States in a wide array of industries, including financial services, technology, entertainment, hospitality, real estate, health care services, education, and digital media. She has worked extensively with corporate clients, along with their foreign national employees, throughout all phases of the employment immigration process, including the transfer of foreign national managers, executives, investors, professionals, and even performing artists into the United States. Attorney Ahn also represents foreign business owners seeking to immigrate to the United States to manage and establish U.S. operations, thereby taking their business global. Furthermore, she represents clients in naturalization matters, such as advising on the relinquishment or retention of permanent resident status.  A member of the American Immigration Lawyers Association (AILA), Attorney Ahn is also admitted to practice law within the states of Massachusetts and New York. She earned her law degree from Boston’s Suffolk University Law School, and is completely fluent in both English and Korean. ","Ahn Law Group, LLC","85 Broad Street, 18th FloorNew York, New York 10004","Investor Representation, Regional Center Representation, Immigrant Visa/Adjustment of Status, EB-5 Securities Issues, I-526 Petitions, I-485 Applications, I-829 Petitions, I-924 Applications, Other Immigration Matters"
8,Charles Foster,https://www.eb5investors.com/directories/immigration-attorneys/charles-foster/,"Houston, Texas",1465,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/3fd1b2c1e64d1b6e4a31d9d668849979.jpg,"Charles Foster is the chairman of the Houston-based Foster, LLP and leads the firm’s EB-5 practice group. For more than thirty years, he has represented multinational businesses in the field of immigration law, and has been board-certified as a specialist in Immigration and Nationality Law since 1979. Attorney Foster has represented individual EB-5 investors since the program’s inception in 1990, and regional centers since 1992.  Attorney Foster’s legal background includes acting as a senior policy advisor on immigration matters during the presidential campaigns of President Barack Obama and President George W. Bush. He has also served as the chairman for a number of organizations, such as the Coordinating Committee on Immigration Law for the American Bar Association, and the Governor’s Task Force on Immigration, and he has been the vice chairman of the Houston Bar Foundation. A past president of AILA and member of its Board of Directors, Attorney Foster also has the current distinction of being the Honorary Consul General for the Kingdom of Thailand.  With his service activities also consisting of leading the Greater Houston Partnership Task Force on Immigration Reform, serving as the State Bar of Texas Immigration and Nationality Law Section’s founding chairman, and more, Attorney Foster is active in the greater immigration law community. He previously taught immigration law for five years at the University of Houston Law Center as an adjunct professor, and on various occasions has testified before the Senate and U.S. House Subcommittees on Immigration.  The many accolades Attorney Foster has received throughout his career include the Houston International Service Award in 1997, the American Immigration Law Foundation Honorary Fellow in 1998, and the Distinguished Friend of China Award in 2000. He has further been recognized by Texas Monthly Magazine as a Texas Super Lawyer, and was ranked as a Leading Individual in 2014 and 2015 by Chambers USA, and Chambers Global, respectively. Attorney Foster received international attention for his immigration work assisting the ballet performer, Li Cunxin, a success story portrayed in Mao’s Last Dancer.  Attorney Foster graduated from the University of Texas with his bachelor’s degree, and from the University of Texas School of Law with his Juris Doctor. He is bilingual in English and Spanish. ","Foster, LLP","600 Travis Street, Suite 2000Houston, Texas 77002",Investor Representation
9,Ed Beshara,https://www.eb5investors.com/directories/immigration-attorneys/ed-beshara/,"Maitland, Florida",1382,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/fe998b49c41c4208c968bce204fa1cbb.jpg,"EB-5 immigration attorney Edward Beshara has focused exclusively on immigration law since 1983 and is currently the managing partner of Beshara, PA, located in Orlando, Fla. Attorney Beshara has helped individual and corporate clients from all over the world meet their U.S. immigration needs. He has assisted corporate clients and foreign national investors undergoing the EB-5 process since 1991 and has primarily concentrated on EB-5 Regional Center matters over the past few years.  Attorney Beshara is an active member of the Association to Invest in the USA (IIUSA), which is a trade organization of EB-5 Regional Centers, immigration attorneys, marketing brokers, business planners, and economists—where he currently serves on the Best Practices Committee. He also currently teaches business immigration law and practice as a professor at the University of Florida, Levin College of Law. Attorney Beshara also belongs to the Academy of International Business, which is a leading association of international business and legal professors whose members include prominent professors from Chinese universities.  Attorney Beshara remains extremely involved with all stages of the EB-5 process, including the filing and preparation of I-526 petitions (particularly source of funds), conditional permanent residency applications, I-829 petitions, regional center applications, project pre-approvals, and regional center amendments. To help with these EB-5 matters, attorney Beshara leads a team of exceptionally qualified corporate attorneys, business planners, economists, certified public accountants, and securities attorneys. Edward Beshara has been the associated, preferred, or exclusive immigration attorney for more than 25 EB-5 projects and/or regional centers throughout the United States. While representing such clients, attorney Beshara personally attends meetings with the USCIS EB-5 unit year-round and attends hearings related to EB-5 legislation before the U.S. Congress. He is also an invaluable resource on the EB-5 program and has conducted presentations and seminars for organizations including the Chinese Chambers of Commerce, World Trade Center, American Immigration Lawyers Association, British Chamber of Commerce, Australian Chamber of Commerce, Artisan Business Group and other prominent international groups.  Attorney Beshara earned his Juris Doctor from the University of Florida and earned his LL.B. and B. Juris degrees from Monash University in Melbourne Australia, where he also pursued an LLM degree and lectured on business and corporate law. Currently a member of the Florida Bar Association, attorney Beshara was also admitted as a solicitor and barrister to the Victorian Bar in Australia. He has earned the highest possible “AV” rating as an international preeminent immigration attorney and is a past president of the American Immigration Lawyers Association. Attorney Beshara has overseen lobbying with U.S. congressmen and the Australian Embassy to achieve favorable legislation for Australian nationals seeking E-1, E-2, and E-3 visas. He has authored an immigration guide called Emigrating to the USA, which achieved worldwide distribution. Additionally, attorney Beshara has obtained international and national recognition for his work, has been named as among the best immigration lawyers in the United States and has earned AILA’s highest award for outstanding contributions. ",Beshara P.A.,"555 Winderley Place, Suite 300Maitland, Florida 32751",Investor Representation
10,Belma Demirovic Chinchoy,https://www.eb5investors.com/directories/immigration-attorneys/belma-demirovic-chinchoy/,"Beverly Hills, California",1236,★ Top Contributor,https://www.eb5investors.com/resources/images/profiles/c86038fe04bc7097e218b4fd6b767f4b.jpg,"Belma Chinchoy is the founding attorney of Immigration General Counsel | Iyer Demirovic Chinchoy LLP, a boutique immigration law firm based in Beverly Hills, Calif. Chinchoy focuses on representing entrepreneurs, investors, and businesses on their immigration matters. Her extensive expertise in this field includes advising U.S. businesses on the operational benefits of immigration programs, along with helping foreign entrepreneurs to obtain EB-5, L-1, E-2, and EB-1 visas. Throughout her career, Chinchoy has assisted with several successful I-526 petitions and I-829 petitions and has advised businesses on EB-5 compliance matters, along with regional centers seeking designation. She has assisted on projects ranging from a $1 million direct investment in a vineyard-related operation to a $180 million New York development enterprise with $140 million funded by EB-5 capital. In addition to advising foreign investors, projects, and regional centers, her immigration expertise includes litigation. She has represented foreign nationals before the Board of Immigration Appeals, the Ninth Circuit Court of Appeals, USCIS, the Immigration Court, and the Central California Federal Court. This representation involved federal mandamus petitions, asylum, and withholding of removal, fiance visas, marriage-based permanent residence petitions, waiver applications, U visas, and more. Chinchoy is particularly knowledgeable about Requests for Evidence (RFEs) and counsels her clients in preparing petitions that will be approvable upon filing. She previously worked as an EB-5 attorney for the Global Law Group, where she served as the lead of the firm’s post-filing team and concentrated on responding to complex EB-5 RFEs. Her gal is to provide an approachable EB-5 process for individual investors and business entities that will result in successful EB-5 petitions. She was admitted to practice law before the California Central District Federal Court and the Supreme Court of California, and she is a member of California’s state Bar. She graduated from the University of Minnesota, Twin Cities, summa cum laude, with her bachelor’s degree in international politics. She also attended the William Mitchell College of Law in Minnesota and Pepperdine University Law School in California for her Juris Doctor. Chinchoy is fluent in English, Bosnian, Croatian, and Serbian.",Immigration General Councel | Iyer Demirovic Chinchoy LLP,"433 N Camden Drive, Suite 600Beverly Hills, California 90210","Investor Representation, Immigrant Visa/Adjustment of Status, EB-5 Litigation, I-526 Petitions, I-485 Applications, I-829 Petitions, Other Immigration Matters"
